Column Descriptions,
----,----
temp_date,Date of Temperature Reading
temp_anom,Temperature Anomaly Value
co2_date,Date of CO2 Reading
co2_reading,CO2 Value
ch4_date,Date of CH4 Reading
ch4_reading,CH4 Value
ir_date,Irish Data - Date of Reading
rainfall,Irish Data - Daily Rainfall Value
max_temp,Irish Data - Maximum Daily Temperature Value
min_temp,Irish Data - Mimimun Daily Temperature Value
,
temp_date,temp_anom,co2_date,co2_reading,ch4_date,ch4_reading,ir_date,rainfall,max_temp,min_temp
2023,0.1,2023,421.08,-797446.1,399.3,1974-07-02,0.0,17.0,11.0
2022,0.4,2022,418.53,-796467.4,457.8,1974-07-03,2.0,15.2,10.8
2021,-0.01,2021,416.41,-795327,396.1,1974-07-04,2.4,15.1,10.9
2020,0.39,2020,414.21,-794369.7,418.0,1974-07-05,0.1,17.2,10.8
2019,0.34,2019,411.65,-792988,428.3,1974-07-06,0.4,15.6,10.7
2018,0.37,2018,408.72,-792449.6,419.6666667,1974-07-07,1.0,16.4,10.6
2017,0.38,2017,406.76,-791645.5,451.2,1974-07-08,0.6,17.1,14.0
2016,0.04,2016,404.41,-790877,469.6666667,1974-07-09,6.3,16.8,12.5
2015,-0.15,2015,401.01,-790044.8,466.2,1974-07-10,0.1,16.4,13.2
2014,0.32,2014,398.81,-789426.6,503.0,1974-07-11,0.0,15.8,12.0
2013,0.48,2013,396.74,-788740.4,483.0,1974-07-12,0.0,15.7,12.2
2012,0.08,2012,394.06,-788087.6,540.3333333,1974-07-13,1.0,17.2,10.1
2011,0.5,2011,391.85,-787312,543.2,1974-07-14,14.8,14.7,11.5
2010,0.12,2010,390.1,-786864.7,561.6666667,1974-07-15,0.2,16.2,11.9
2009,0.33,2009,387.64,-786172.7,588.9,1974-07-16,0.0,17.1,12.1
2008,0.22,2008,385.83,-785723.2,659.3333333,1974-07-17,0.0,16.6,10.6
2007,0.62,2007,384.02,-784988.2,713.4,1974-07-18,0.0,16.8,8.9
2006,0.37,2006,382.09,-784698.6,699.0,1974-07-19,0.0,17.3,12.2
2005,0.42,2005,379.98,-784589.8,738.67,1974-07-20,0.0,17.3,12.5
2004,-0.1,2004,377.7,-784539.9,723.0,1974-07-21,0.5,14.9,11.5
2003,0.21,2003,375.98,-784009.5,676.9,1974-07-22,0.2,15.1,12.3
2002,0.39,2001,368.02248790241714,-783436.1,686.3333333,1974-07-23,1.0,15.9,10.8
2001,0.15,1998,361.78073658846415,-782689.9,639.4,1974-07-24,0.1,17.0,12.7
2000,,1996,359.6477931830841,-782157.5,653.3333333,1974-07-25,0.7,14.7,11.7
1993,,1994,357.10673969933646,-781478,618.0,1974-07-26,0.3,15.2,11.6
1987,,1993,353.94668533391206,-780900.5,639.3333333,1974-07-27,2.0,15.9,12.4
1981,,1992,353.72423581425323,-780007.1,623.3,1974-07-28,0.0,16.5,12.5
1974,,1991,352.41630841973364,-779682.9,633.3333333,1974-07-29,0.0,17.3,12.3
1967,,1989,350.8086522409729,-778794.8,629.9,1974-07-30,16.8,16.6,13.2
1960,,1989,349.8002703595191,-778144.6,616.0,1974-07-31,0.2,18.1,13.0
1953,,1988,349.27841464963046,-777333.2,598.3,1974-08-01,0.0,15.6,11.7
1944,,1988,347.59740561133145,-776810.3,614.0,1974-08-02,0.0,16.7,10.6
1936,,1987,345.44120600376243,-776081.5,681.0,1974-08-03,0.0,17.4,7.7
1927,,1986,344.71776861346984,-775460.3,657.6666667,1974-08-04,0.0,18.3,8.7
1919,,1986,343.9736767615952,-774605.1,601.2,1974-08-05,14.7,17.0,7.3
1911,0.88,1985,343.1107520502481,-774043.8,617.6666667,1974-08-06,0.2,18.1,14.4
1903,1.84,1984,342.0519764062061,-773295.5,577.4,1974-08-07,0.0,19.3,14.3
1894,3.04,1983,341.3292967441024,-772575.4,583.3333333,1974-08-08,15.7,18.7,12.5
1885,0.35,1983,339.4604885213476,-771681.9,548.5,1974-08-09,25.3,17.0,12.8
1876,-0.42,1979,334.84855553252345,-771049.3,565.6666667,1974-08-10,1.2,17.0,12.2
1868,0.05,1976,335.54695345792317,-770248.5,529.5,1974-08-11,5.4,16.4,13.0
1859,0.05,1976,332.3689555204767,-770063.6,538.6666667,1974-08-12,0.0,16.0,12.5
1850,-0.52,1975,332.3656863259178,-769878.6,543.0,1974-08-13,7.2,17.0,9.5
1840,0.79,1974,331.54980566810485,-769590.8,556.0,1974-08-14,1.5,17.2,13.2
1830,-0.55,1972,328.41588801232757,-769255.1,639.3333333,1974-08-15,0.0,17.5,14.2
1820,-1.11,1972,330.3504422217994,-768980.6,646.6666667,1974-08-16,0.0,17.9,14.1
